title,abstract
【基調講演】 AIがもたらすエンジニアの未来,生成AI、AIエージェントが急速に進化し、私たちの働き方に大きな変革をもたらそうとしています。また、エンジニアにとっても、この波をどのように捉え、活用していくかは、今後のキャリアを左右する重要なテーマともいえます。本セッションでは、黎明期から生成AIの動向を捉え、数々の著作を通じて知見と経験を発信し続ける、日本における生成AI第一人者のお二人をお迎えし、生成AI/AIエージェントの最前線、そしてこれからAIはどのような進化を辿るのか、そしてAI時代におけるエンジニアの新たな可能性について、パネルディスカッション形式でお話いただきます。
Oracle Databaseカーネル大改造史,OracleDatabaseは世界最初の商用リレーショナル・データベースとして世にでました。リレーショナル・データベースは表として抽象化されたデータの集合に対し、どういうデータを取り出すかの集合のみを定義するSQLによってアクセスします。つまり、SQLをインターフェースとして、内部実装をユーザーに見せないように動作します。OracleDatabaseの改良は、トランザクション分離レベルのインターフェースの挙動すら変更しないように精巧に実装されてきました。本セッションでは、インターフェースの挙動不変を維持したまま、OracleDatabaseカーネルのメモリー管理やI/Oサブシステムがどのように大胆な改造が行われてきたか、その歴史を振り返ります。
"OCI Kubernetes Engine(OKE)で実現する超スケーラブルな機械学習基盤〜 24,000 GPU K8sクラスタの作り方",Oracle Cloud Infrastructure (OCI)で大規模にGPUをご利用いただいているお客様の多くが、LLM学習基盤にOCIKubernetes Engine (OKE)を用いていることをご存知でしょうか？このセッションでは実際に北米で多くのお客様のLLM基盤構築・運用を支援する専門チームから得たOKEを活用したGPUクラスタ構築のノウハウを共有します。学習環境のパートでは、RDMAネットワークを活用するOKEクラスタの構築方法、ポッド・ネットワーキングの考慮点、ストレージの選択肢などを解説し、ジョブ管理の手法としてVolcanoを使ったPytorchの分散学習処理をデモします。推論環境のパートでは、KServeを使った推論環境を解説し、HuggingFace 上のモデルをLoadBalancer経由で簡単に公開するデモをお見せします。
複雑化したお客様の生成AIニーズに、どのようなリトリーバルプラットフォームで答えるべきか？,生成AIに企業内データを活用できるRAG構成に注目が集まっていますが、一般的なベクトル検索だけでは、複雑な複雑な質問に対する検索精度の実現が困難です。こうした高いお客様の生成AIニーズに答えることができるリトリーバルプラットフォームをどのように実現/選択するか検討が大切です。本セッションでは、「企業内データを配置するリトリーバルプラットフォームはどのような要素が重要か。」を実際のユースケースを交えながら解説します。具体的には、企業内データのリアルタイム活用を実現するRAG構成をOracleCloud Infrastructure、AutonomousDatabaseで実装したユースケースです。検証では、Oracle AI VectorSearchを用いた非構造データの検索に加え、構造データである在庫情報もSelectAIと連携した生成AIでアクセスできるようにすることで、在庫状況の変化に応じた問い合わせ回答を実現しました。
Oracle Database オプティマイザ・ヒントの徹底解説,オプティマイザの実行計画を制御するヒント句。SQL文の内容を書き換えることなくチューニングできる強力な機能ですが、ヒント句の書き方によっては有効に働かない場合もあります。間違いやすいポイントも含めヒント句に関する情報を整理してお伝えします。
OKE クラスタアップデート -オンデマンドノードサイクル-,Kubernetesクラスタのアップデートは、運用において避けて通れない課題です。OCIKubernetesEngine（OKE）では、クラスタのアップデートを簡素化する「オンデマンドノードサイクル」という機能が提供されています。この機能について、デモ動画を交えて紹介します。また、OKEには「管理対象ノード」「仮想ノード」「基本クラスタ」「拡張クラスタ」など、ノードやクラスタにいくつかの種類があります。これらの種類やアップデート手法についても整理して説明します。
生成AIエージェントにおけるSelect AI活用,OCI上で構築する顧客専用の自律型AIエージェントのご紹介と、そのプロセスで発見したSelectAI活用のTIPSをご紹介します。
AWSからOCIへの移行を成功に導く！クラウドマイグレーションのベストプラクティス,様々なクラウドプラットフォームが市場に浸透し始め、クラウドワークロードの最適化を目的とした、マルチクラウド活用が標準となりつつあります。クラウド市場で最も活用されているAWSから、コストパフォーマンスに優れたOCIへ移行されるお客様も増えています。OCIには、AWSからの移行を実現させるサービスが提供されています。本セッションでは、AWSのサンプルアーキテクチャを基に、アプリケーションレイヤー、DBレイヤーにおけるサービスの移行方法を紹介します。アプリケーションレイヤーでは、Oracle Cloud MigrationsServiceを利用したEC2からOCI Computeへの移行方法紹介します。DBレイヤーでは、MySQL Databaseを前提とし、OCIHeatWaveの機能であるReplicationFilterを利用したDB移行方法を紹介します。サービスの紹介にとどまらず、クラウド移行戦略や、移行方式についても言及します。
GraphRAGで精度向上！チャットbot,KDDIでは多数の基幹システム群のOCI移行を目的としたQUAD4プロジェクトを立ち上げました。その中で我々のチームのミッションは、基幹システムのモダナイゼーションを加速させることであり、設計標準化と内製化に注力しています。例えば、設計標準化に関しては、アーキテクチャ、ミドルウェア、パラメータ等のパターン策定に加え、ガバナンスを効かせた各システムへの設計標準化の適用と改善サイクルを実施しています。そして、これらの取組みを通して大量のナレッジを得ることができたため、社内RAGとチャットbotを構築してナレッジ共有しています。今回、さらなるRAGの精度向上を目指し、AutonomousDB(OracleDatabase 23ai)のOracleGraph機能を利用してGraphRAGを実装しました。GraphRAGは近年、RAGの精度を向上させるアプローチとして注目されています。従来のRAGではベクトル型のデータベースを活用していましたが、GraphRAGではグラフ・データベースの構造化データを活用します。GraphRAGの手法の1つとして、データを取り込む際に要素(人・物など)同士の関係性を知識グラフとして取り込みます。従来のベクトル型のRAGでは活用することが難しかった複雑な関係性もGraphRAGでは取り込んで活用することができる可能性があります。本セッションでは、OracleDatabaseのよるRAGを活用している方々や、チャットbotのRAGの精度向上に興味がある方々を対象として、GraphRAGの理解が深まるようにGraphRAGの概要から実装例までご紹介できればと思っています。
実践！Datadogで高めるOCIのオブザーバビリティ,コスト、災害対策、特定機能の目的等で複数のクラウドを使用するマルチクラウドな構成を採用するパターンが増えてきています。クラウドベンダー間の設計思想が異なることによる学習コストや統一的なセキュリティレベルの担保、コスト管理、ネットワークのパフォーマンス課題、など真面目に取り組むには様々なことを検討する必要があります。その中でも”運用・監視”は特筆するべき事項ではないでしょうか？本セッションでは、マルチクラウドな運用・監視を支えるためのオブザーバビリティ基盤として、Datadogを使用する例を紹介します。OCIでのオブザーバビリティを向上させたい方、マルチクラウド環境でのオブザーバビリティを向上させたい方に特におすすめです。
